,0,1,2,3
"
",,,,
100%|â–ˆâ–ˆâ–ˆâ–ˆâ–ˆâ–ˆâ–ˆâ–ˆâ–ˆâ–ˆ|,,,,512.26s/it]
2019-09-03,,,,6.1)
ABCMeta,562,,,
And,213,,,
ArgSpec,1224,,,
BufferedWriter,,12,,
CapturableResourceDeleter,,20,20,20
ConcreteFunction,,,4,4
ConcreteFunctionGarbageCollector,,,4,4
CondBranchFuncGraph,,1354,1354,1354
Condition,,1796,1786,1786
DatasetV1Adapter,,,10,10
Dimension,,47647,34359,34359
DistInfoDistribution,325,,,
E0903,,,,dtype=float32)[0m
Enum,216,,,
ExtensionFileLoader,192,,,
FileFinder,463,,,
FileIO,,12,,
FontEntry,335,,,
FuncGraph,,218,218,218
GeneratedProtocolMessageType,505,,,
Graph,,,2,2
GroupLock,,1786,1786,1786
I0903,,,,/opt/tf_issue_32052/data/east_net/export/temp-b'1567491561'/saved_model.pb
IncrementalEncoder,,12,,
Instructions,,,,updating:
LineLocation,,204,,
Location,,111,,
MiniProduction,310,,,
ModuleSpec,3451,15,,
MovedAttribute,496,,,
MovedModule,284,,,
NamedType,251,,,
NamedTypes,410,,,
ObjectIdentitySet,,1786,1786,1786
ObjectIdentityWeakSet,,1786,1786,1786
Operation,,59171,59171,59171
OrderedDict,155,5568,5568,5568
OriginInfo,,111,,
Parameter,452,,,
PathMetadata,332,,,
PointerType,334,,,
ResourceVariable,,2077,2077,2077
Saver,,,2,2
ScopedTFFunction,,58602,58602,58602
ScopedTFGraph,,1786,1786,1786
SourceFileLoader,3206,15,,
StructuredFunctionWrapper,,,4,4
TFDecorator,1729,,,
TFModuleWrapper,344,,,
TF_Output,,59838,57906,57906
Tag,160,,,
TagMap,803,,,
TagSet,199,,,
Tensor,,60050,60050,60050
TensorShape,,56644,38678,38678
TensorSpec,,26,26,26
TextIOWrapper,,12,,
This,,,,tf.compat.v1.saved_model.build_tensor_info.
TraceableObject,,45420,45420,45420
TraceableStack,,7144,7144,7144
TrackableReference,,20,20,20
W0903,,,,version.
_CondGradFuncGraph,,212,212,212
_DefinedFunction,,57030,57030,57030
_DelayedRewriteGradientFunctions,,,4,4
_EagerDefinedFunction,,1572,1572,1572
_FirstOrderTapeGradientFunctions,,,4,4
_HigherOrderTapeGradientFunctions,,,4,4
_InputList,,59171,59171,59171
_ObjectIdentityWrapper,,138,138,138
_OpInfo,1224,,,
_TemporaryFileWrapper,,12,,
_VariableScopeStore,,,2,2
_VariableStore,,,2,2
_VariantTracker,,20,20,20
_WeakObjectIdentityWrapper,,1777,1777,1777
__pyx_scope_struct__with_phil,344,,,
_local,,1786,1786,1786
builtin_function_or_method,3901,7497,5360,5360
cell,14478,335,306,306
classmethod,1168,,,
cython_function_or_method,608,,,
defaultdict,,,2,2
deque,,1798,1786,1786
dict,34722,323173,307027,307027
frozenset,1543,,,
function,63331,121,50,50
fused_cython_function,571,,,
getset_descriptor,6505,,,
list,16027,671148,655133,655133
member_descriptor,944,,,
method,1174,,,
method_descriptor,3152,,,
module,3448,16,,
name:,,,,1.48
objgraph,end,end,end,end
pciBusID:,,,,0000:01:00.0
property,4967,,,
set,2688,66701,66674,66674
slice,228,,,
staticmethod,1099,,,
tuple,31286,2031982,2031886,2031884
type,6925,13,,
vectorize,454,,,
weakproxy,,20,20,20
weakref,9896,6433,4259,4259
wrapper_descriptor,3350,,,
